NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,30,Número-índice,112.13938,1,Brasil,202311,novembro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,129.34899,1,Brasil,202312,dezembro 2023,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,103.48542,1,Brasil,202401,janeiro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,100.40940,1,Brasil,202402,fevereiro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,110.63531,1,Brasil,202403,março 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,104.58627,1,Brasil,202404,abril 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,113.46510,1,Brasil,202405,maio 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,108.56698,1,Brasil,202406,junho 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,112.30270,1,Brasil,202407,julho 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,113.38181,1,Brasil,202408,agosto 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
1,Brasil,30,Número-índice,108.38327,1,Brasil,202409,setembro 2024,7169,PMC - Número-índice (2022=100),56733,Índice de receita nominal de vendas no comércio varejista
